Year,CP,Coal price Growth (%),Oil price Growth (%),Nat Gas price Growth (%),Uranium price Growth (%),Corporate Profits Growth (%),DATE,M2SL,M2 Growth (%),Wages growth (%),Inflation (%)
1960,"331.382.500.000.000.000,00","-0,02","-0,01","0,08","-0,01","-0,04","21.551,00","286,60","0,04","0,03","0,015"
1961,"319.677.500.000.000.000,00","-0,02","0,00","0,07","-0,01","-0,01","21.582,00","287,70","0,07","0,03","0,011"
1962,"317.015.000.000.000.000,00","-0,02","0,00","0,07","-0,01","0,13","21.610,00","289,20","0,08","0,04","0,012"
1963,"359.082.500.000.000.000,00","-0,02","0,00","0,00","-0,02","0,08","21.641,00","290,10","0,08","0,04","0,012"
1964,"389.252.500.000.000.000,00","0,01","0,00","-0,06","-0,02","0,15","21.671,00","292,20","0,08","0,05","0,013"
1965,"448.730.000.000.000.000,00","-0,01","-0,01","0,07","0,00","0,19","21.702,00","294,10","0,08","0,04","0,016"
1966,"533.417.500.000.000.000,00","0,02","0,01","0,00","0,00","0,09","21.732,00","295,20","0,07","0,04","0,030"
1967,"581.520.000.000.000.000,00","0,02","0,01","0,00","0,00","-0,03","21.763,00","296,40","0,07","0,04","0,028"
1968,"566.117.500.000.000.000,00","0,01","0,01","0,00","0,00","0,07","21.794,00","296,70","0,08","0,07","0,043"
1969,"607.422.500.000.000.000,00","0,07","0,05","0,06","0,00","-0,02","21.824,00","296,50","0,06","0,07","0,055"
1970,"596.945.000.000.000.000,00","0,25","0,03","0,00","-0,01","-0,08","21.855,00","297,10","0,04","0,07","0,058"
1971,"549.997.500.000.000.000,00","0,13","0,07","0,06","-0,03","0,17","21.885,00","297,80","0,12","0,07","0,043"
1972,"644.627.500.000.000.000,00","0,08","0,00","0,06","-0,02","0,19","21.916,00","298,20","0,12","0,07","0,033"
1973,"767.745.000.000.000.000,00","0,11","0,15","0,11","0,08","0,31","21.947,00","298,40","0,10","0,06","0,062"
1974,"1.004.985.000.000.000.000,00","0,84","0,77","0,38","0,72","0,14","21.976,00","299,30","0,06","0,07","0,111"
1975,"1.142.917.500.000.000.000,00","0,22","0,12","0,48","1,15","-0,05","22.007,00","300,10","0,09","0,08","0,091"
1976,"1.085.087.500.000.000.000,00","0,01","0,07","0,35","0,68","0,26","22.037,00","300,90","0,13","0,07","0,057"
1977,"1.367.960.000.000.000.000,00","0,02","0,05","1,05","0,06","0,17","22.068,00","302,30","0,12","0,07","0,065"
1978,"1.599.890.000.000.000.000,00","0,10","0,05","0,10","0,02","0,20","22.098,00","304,10","0,08","0,07","0,076"
1979,"1.925.577.500.000.000.000,00","0,09","0,40","-0,10","-0,02","0,14","22.129,00","306,90","0,08","0,08","0,113"
1980,"2.204.047.500.000.000.000,00","0,04","0,71","0,35","-0,25","-0,06","22.160,00","308,40","0,08","0,10","0,135"
1981,"2.072.737.500.000.000.000,00","0,07","0,47","0,50","-0,24","0,00","22.190,00","309,50","0,09","0,09","0,103"
1982,"2.063.097.500.000.000.000,00","0,03","-0,10","0,04","-0,18","-0,12","22.221,00","310,90","0,09","0,08","0,061"
1983,"1.810.335.000.000.000.000,00","-0,05","-0,08","0,05","0,15","0,09","22.251,00","312,40","0,12","0,05","0,032"
1984,"1.974.682.500.000.000.000,00","-0,01","-0,01","0,18","-0,25","0,10","22.282,00","314,10","0,08","0,05","0,043"
1985,"2.167.632.500.000.000.000,00","-0,02","-0,07","-0,18","-0,10","-0,04","22.313,00","316,50","0,09","0,05","0,035"
1986,"2.080.392.500.000.000.000,00","-0,06","-0,48","-0,07","0,09","-0,16","22.341,00","318,30","0,08","0,04","0,019"
1987,"1.743.230.000.000.000.000,00","-0,03","0,23","-0,12","-0,01","0,25","22.372,00","319,90","0,06","0,04","0,037"
1988,"2.180.882.500.000.000.000,00","-0,04","-0,18","0,01","-0,13","0,21","22.402,00","322,20","0,05","0,05","0,041"
1989,"2.640.900.000.000.000.000,00","-0,01","0,26","0,01","-0,31","0,00","22.433,00","324,30","0,04","0,03","0,048"
1990,"2.649.817.500.000.000.000,00","0,00","0,26","0,00","-0,03","0,07","22.463,00","325,60","0,06","0,05","0,054"
1991,"2.822.352.500.000.000.000,00","-0,01","-0,17","-0,29","-0,13","0,10","22.494,00","327,60","0,04","0,04","0,042"
1992,"3.115.042.500.000.000.000,00","-0,02","-0,03","0,46","0,01","0,06","22.525,00","329,50","0,02","0,05","0,030"
1993,"3.306.467.500.000.000.000,00","-0,06","-0,11","-0,02","0,18","0,06","22.555,00","331,10","0,01","0,02","0,030"
1994,"3.508.977.500.000.000.000,00","-0,02","-0,07","0,09","-0,07","0,22","22.586,00","333,40","0,01","0,02","0,026"
1995,"4.290.335.000.000.000.000,00","-0,03","0,11","-0,09","0,24","0,14","22.616,00","335,50","0,02","0,03","0,028"
1996,"4.908.022.500.000.000.000,00","-0,02","0,26","0,48","0,34","0,07","22.647,00","337,50","0,05","0,04","0,029"
1997,"5.273.540.000.000.000.000,00","-0,02","-0,07","-0,21","-0,22","0,08","22.678,00","340,10","0,05","0,05","0,023"
1998,"5.721.245.000.000.000.000,00","-0,03","-0,37","-0,16","-0,14","-0,12","22.706,00","343,10","0,07","0,05","0,016"
1999,"5.062.725.000.000.000.000,00","-0,06","0,43","0,09","-0,04","0,06","22.737,00","345,50","0,07","0,04","0,022"
2000,"5.384.780.000.000.000.000,00","0,01","0,72","0,90","-0,17","-0,05","22.767,00","347,50","0,06","0,06","0,034"
2001,"5.131.232.500.000.000.000,00","0,04","-0,18","0,01","0,04","0,01","22.798,00","349,30","0,09","0,03","0,028"
2002,"5.188.957.500.000.000.000,00","0,03","0,03","-0,23","0,14","0,21","22.828,00","350,80","0,07","0,02","0,016"
2003,"6.278.730.000.000.000.000,00","-0,01","0,22","0,63","0,14","0,20","22.859,00","352,80","0,07","0,03","0,023"
2004,"7.563.570.000.000.000.000,00","0,12","0,33","0,15","0,61","0,29","22.890,00","354,90","0,05","0,05","0,027"
2005,"9.791.932.500.000.000.000,00","0,18","0,37","0,48","0,55","0,31","22.920,00","357,20","0,04","0,03","0,034"
2006,"12.854.405.000.000.000.000,00","0,07","0,19","-0,24","0,71","0,10","22.951,00","359,80","0,05","0,05","0,032"
2007,"14.140.140.000.000.000.000,00","0,04","0,11","0,04","1,08","-0,04","22.981,00","362,70","0,06","0,05","0,029"
2008,"13.601.625.000.000.000.000,00","0,19","0,41","0,25","-0,35","-0,17","23.012,00","365,20","0,07","0,03","0,038"
2009,"11.233.892.500.000.000.000,00","0,06","-0,40","-0,53","-0,27","0,12","23.043,00","367,90","0,08","0,01","-0,004"
2010,"12.635.585.000.000.000.000,00","0,07","0,33","0,01","-0,02","0,24","23.071,00","370,70","0,02","0,03","0,016"
2011,"15.617.462.500.000.000.000,00","0,22","0,28","-0,09","0,22","-0,02","23.102,00","373,30","0,07","0,03","0,032"
2012,"15.374.667.500.000.000.000,00","-0,21","-0,01","-0,21","-0,13","0,18","23.132,00","376,10","0,09","0,03","0,021"
2013,"18.215.142.500.000.000.000,00","-0,13","0,02","0,31","-0,21","-0,02","23.163,00","378,40","0,07","0,01","0,015"
2014,"17.888.810.000.000.000.000,00","-0,17","-0,09","0,06","-0,13","0,04","23.193,00","381,10","0,06","0,03","0,016"
2015,"18.574.035.000.000.000.000,00","-0,16","-0,49","-0,31","0,10","-0,07","23.224,00","383,60","0,06","0,03","0,001"
2016,"17.319.885.000.000.000.000,00","0,12","-0,14","-0,17","-0,28","0,02","23.255,00","386,00","0,07","0,01","0,013"
2017,"17.580.747.500.000.000.000,00","0,33","0,25","0,35","-0,17","0,08","23.285,00","388,30","0,06","0,03","0,021"
2018,"18.972.510.000.000.000.000,00","0,22","0,28","-0,06","0,11","0,03","23.316,00","391,50","0,04","0,03","0,024"
2019,"19.600.432.500.000.000.000,00","-0,27","-0,09","-0,19","0,06","0,02","23.346,00","393,20","0,05","0,03","0,018"
2020,"20.073.902.500.000.000.000,00","-0,22","-0,34","-0,22","0,14","0,05","23.377,00","395,20","0,19","0,07","0,012"
2021,"21.109.252.500.000.000.000,00","1,26","0,79","1,11","0,12","0,30","23.408,00","397,60","0,16","0,06","0,047"
2022,"27.498.400.000.000.000.000,00","1,50","0,47","0,50","0,24","0,04","23.437,00","399,80","0,05",,"0,080"
,"28.721.627.500.000.000.000,00",,,,,,"23.468,00","401,70","-0,03",,
,.,,,,,,"23.498,00","404,20",,,
,,,,,,,"23.529,00","407,10",,,
,,,,,,,"23.559,00","410,10",,,
,,,,,,,"23.590,00","413,40",,,
,,,,,,,"23.621,00","416,90",,,
,,,,,,,"23.651,00","419,10",,,
,,,,,,,"23.682,00","422,00",,,
,,,,,,,"23.712,00","424,70",,,
,,,,,,,"23.743,00","427,50",,,
,,,,,,,"23.774,00","430,40",,,
,,,,,,,"23.802,00","433,20",,,
,,,,,,,"23.833,00","435,40",,,
,,,,,,,"23.863,00","437,10",,,
,,,,,,,"23.894,00","440,10",,,
,,,,,,,"23.924,00","442,90",,,
,,,,,,,"23.955,00","445,80",,,
